🕘️更新时间,26/01/10-06:56:07

📺央视频道,#genre#
甘肃卫视,http://144.255.16.69:6688/udp/239.21.2.22:5002
甘肃卫视,http://114.100.195.156:4022/rtp/238.1.79.36:4400
甘肃卫视,http://115.58.216.71:4000/rtp/225.1.4.42:1071
甘肃卫视,http://183.236.43.98:4013/udp/239.77.0.189:5146
甘肃卫视,http://115.171.216.188:4000/rtp/225.1.8.162:8188
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
广东卫视,http://114.241.250.59:4022/rtp/239.3.1.142:8048
广东卫视,http://113.119.24.25:58888/udp/239.77.1.152:5146
广东卫视,http://113.119.24.25:58888/udp/239.77.0.166:5146
广东卫视,http://180.105.201.170:9981/rtp/239.49.8.13:9422
广东卫视,http://180.105.201.170:9981/rtp/239.49.8.143:6000
广东卫视,http://113.119.24.25:58888/udp/239.77.1.19:5146
广东卫视,http://27.191.200.180:19999/rtp/239.254.200.56:8048
广东卫视,http://222.82.206.96:8188/udp/238.125.5.12:5140
广西卫视,http://38.75.136.137:98/gslb/dsdqca/gxwshd.m3u8?auth=test20251009
广西卫视,http://23.237.228.134/live6/guangxi.m3u8
广西卫视,http://23.237.228.134/live6/guizhou.m3u8
广西卫视,http://27.191.200.180:19999/rtp/239.254.200.80:8300
广西卫视,http://113.119.24.25:58888/udp/239.253.43.36:5146
广西卫视,http://220.176.218.76:9000/udp/239.252.219.183:5140
广西卫视,http://222.82.206.96:8188/udp/238.125.5.105:5140
广西卫视,http://114.241.250.59:4022/rtp/239.3.1.39:8300
广西卫视,http://58.48.104.165:4022/rtp/239.69.1.191:10788
广西卫视,http://180.105.201.170:9981/rtp/239.49.1.40:6000
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
贵州卫视,http://23.237.228.134/live6/hainan.m3u8
贵州卫视,http://114.241.250.59:4022/rtp/239.3.1.149:8076
贵州卫视,http://27.191.200.180:19999/rtp/239.254.201.20:6315
贵州卫视,http://113.119.24.25:58888/udp/239.77.1.221:5146
贵州卫视,http://222.82.206.96:8188/udp/238.125.5.65:5140
贵州卫视,http://220.176.218.76:9000/udp/239.252.220.190:5140
贵州卫视,http://180.105.201.170:9981/rtp/239.49.1.52:6000
贵州卫视,http://223.198.243.134:4000/rtp/239.253.64.197:5140
贵州卫视,http://115.171.80.52:1688/udp/225.1.8.77:8076
海南卫视,http://yp.qqqtv.top/1/api.php?id=%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86HD&auth=666858
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
海南卫视,http://27.191.200.180:19999/rtp/239.254.201.125:6288
海南卫视,http://222.82.206.96:8188/udp/238.125.5.68:5140
海南卫视,http://220.176.218.76:9000/udp/239.252.219.178:5140
海南卫视,http://180.105.201.170:9981/rtp/239.49.1.41:6000
海南卫视,http://114.241.250.59:4022/rtp/239.3.1.45:8304
海南卫视,http://144.255.16.69:6688/udp/239.21.2.14:5002
海南卫视,http://58.48.104.165:4022/rtp/239.69.1.151:10542
海南卫视,http://115.171.216.188:4000/rtp/225.1.8.158:8304
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub
河北卫视,http://23.237.228.134/live8/hebei.m3u8
河北卫视,http://114.241.250.59:4022/rtp/239.3.1.148:8072
河北卫视,http://180.105.201.170:9981/rtp/239.49.8.188:6000
河北卫视,http://113.119.24.25:58888/udp/239.77.1.214:5146
河北卫视,http://144.255.16.69:6688/udp/239.21.1.168:5002
河北卫视,http://27.191.200.180:19999/rtp/239.254.200.174:6000
河北卫视,http://220.176.218.76:9000/udp/239.252.220.154:5140
河北卫视,http://222.82.206.96:8188/udp/238.125.5.64:5140
河北卫视,http://115.171.216.84:4000/udp/225.1.8.76:8002
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub
河南卫视,http://23.237.228.134/live6/henan.m3u8
河南卫视,http://115.58.216.71:4000/rtp/225.1.4.98:1127
河南卫视,http://113.119.24.25:58888/udp/239.77.1.229:5146
河南卫视,http://27.184.29.38:12312/rtp/239.254.201.16:7174
河南卫视,http://27.191.200.180:19999/rtp/239.254.201.16:7174
河南卫视,http://115.58.216.71:4000/rtp/225.1.4.254:1300
河南卫视,http://222.82.206.96:8188/udp/238.125.3.171:5140
河南卫视,http://220.176.218.76:9000/udp/239.252.220.189:5140
湖北卫视,http://38.75.136.137:98/gslb/dsdqca/hbwshd.m3u8?auth=test20251009
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
湖北卫视,http://yp.qqqtv.top/1/api.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86HD&auth=666858
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
湖北卫视,http://114.241.250.59:4022/rtp/239.3.1.138:8044
湖北卫视,http://113.119.24.25:58888/udp/239.77.0.128:5146
湖北卫视,http://180.105.201.170:9981/rtp/239.49.8.8:9632
湖北卫视,http://180.105.201.170:9981/rtp/239.49.8.147:6000
湖北卫视,http://114.100.195.156:4022/rtp/238.1.78.168:7216
湖北卫视,http://27.191.200.180:19999/rtp/239.254.200.164:6000
湖南卫视,http://38.75.136.137:98/gslb/dsdqca/hnwshd.m3u8?auth=test20251009
湖南卫视,http://69.30.246.194/live/hnws.m3u8
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
